forWork;start;00:00:00,000;
forWork;end;00:00:02,270;
forWork;start;00:00:01,135;
forWork;end;00:00:01,463;
forWork;start;00:00:01,299;
forWork;end;00:00:01,541;
forWork;start;00:00:01,420;
forWork;end;00:00:01,635;
forWork;start;00:00:01,528;
forWork;end;00:00:01,913;
forWork;start;00:00:01,720;
forWork;end;00:00:01,947;
forWork;start;00:00:01,833;
forWork;end;00:00:02,068;
forWork;start;00:00:01,951;
forWork;end;00:00:02,189;
forWork;start;00:00:02,070;
forWork;end;00:00:02,282;
forWork;start;00:00:02,176;
forWork;end;00:00:02,395;
forWork;start;00:00:02,286;
forWork;end;00:00:02,565;
forWork;start;00:00:02,425;
forWork;end;00:00:02,806;
forWork;start;00:00:02,615;
forWork;end;00:00:04,754;
